InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536409,STK121,Item STK121,47,2024-06-25 03:10:24.763862,26.8,11488,India
541959,STK522,Item STK522,7,2024-06-25 03:18:15.763862,33.57,11701,Germany
537113,STK958,Item STK958,32,2024-06-25 03:36:04.763862,3.7,11879,Spain
C540449,STK802,Item STK802,-18,2024-06-25 03:43:35.763862,24.66,10062,United Kingdom
537397,STK882,Item STK882,16,2024-06-25 03:43:38.763862,60.15,10999,Italy
536485,STK197,Item STK197,22,2024-06-25 03:55:21.763862,18.91,10080,USA
548948,STK467,Item STK467,40,2024-06-25 04:06:50.763862,28.49,11255,Italy
539452,STK302,Item STK302,23,2024-06-25 04:18:11.763862,15.58,11644,USA
536431,STK272,Item STK272,44,2024-06-25 04:34:08.763862,39.97,10026,Canada
548442,STK903,Item STK903,47,2024-06-25 04:48:36.763862,23.96,10100,USA
541316,STK984,Item STK984,8,2024-06-25 04:49:19.763862,49.62,10211,Italy
549460,STK494,Item STK494,44,2024-06-25 04:54:45.763862,99.27,10484,France
540791,STK445,Item STK445,10,2024-06-25 05:07:49.763862,86.74,11771,United Kingdom
C549670,STK567,Item STK567,-18,2024-06-25 05:17:20.763862,35.62,11900,Spain
538106,STK173,Item STK173,43,2024-06-25 05:29:15.763862,33.11,10510,Spain
542112,STK514,Item STK514,16,2024-06-25 06:09:19.763862,51.95,10863,France
544533,STK186,Item STK186,11,2024-06-25 06:09:43.763862,19.46,10076,Italy
545138,STK280,Item STK280,43,2024-06-25 06:17:22.763862,16.12,11772,United Kingdom
547969,STK555,Item STK555,9,2024-06-25 06:24:06.763862,26.94,10526,Canada
C541820,STK376,Item STK376,-6,2024-06-25 06:26:07.763862,47.79,10875,United Kingdom
C548945,STK796,Item STK796,-3,2024-06-25 06:26:30.763862,24.12,11535,Italy
544591,STK676,Item STK676,19,2024-06-25 06:41:10.763862,51.94,10693,United Kingdom
C536840,STK980,Item STK980,-20,2024-06-25 07:16:05.763862,64.6,11613,USA
542375,STK219,Item STK219,42,2024-06-25 07:49:00.763862,23.25,10102,France
551185,STK684,Item STK684,25,2024-06-25 07:56:39.763862,78.08,11190,USA
C544255,STK148,Item STK148,-18,2024-06-25 08:05:55.763862,41.65,11580,USA
544405,STK689,Item STK689,25,2024-06-25 08:13:29.763862,35.05,11382,Germany
549789,STK671,Item STK671,1,2024-06-25 08:14:37.763862,8.58,11031,France
539509,STK785,Item STK785,15,2024-06-25 09:04:49.763862,58.06,10867,Canada
548311,STK514,Item STK514,43,2024-06-25 09:32:58.763862,38.65,11972,India
540795,STK953,Item STK953,19,2024-06-25 09:36:10.763862,93.48,10724,Spain
543079,STK559,Item STK559,48,2024-06-25 09:51:02.763862,26.37,11715,India
537214,STK734,Item STK734,10,2024-06-25 10:10:09.763862,87.66,11344,Italy
549368,STK619,Item STK619,24,2024-06-25 10:40:31.763862,35.98,11383,Canada
544149,STK106,Item STK106,31,2024-06-25 10:41:19.763862,20.84,11238,Italy
542558,STK847,Item STK847,16,2024-06-25 10:44:50.763862,69.51,11846,United Kingdom
543577,STK558,Item STK558,45,2024-06-25 10:49:21.763862,38.92,11124,United Kingdom
537075,STK187,Item STK187,20,2024-06-25 10:52:35.763862,73.56,11012,Spain
C547946,STK713,Item STK713,-2,2024-06-25 11:04:11.763862,25.5,11469,United Kingdom
545909,STK662,Item STK662,36,2024-06-25 11:26:25.763862,23.95,11452,United Kingdom
C545423,STK184,Item STK184,-1,2024-06-25 11:56:26.763862,90.15,10128,Spain
539608,STK717,Item STK717,34,2024-06-25 11:57:48.763862,83.81,10096,USA
539592,STK590,Item STK590,37,2024-06-25 12:01:33.763862,29.44,10895,India
545423,STK525,Item STK525,2,2024-06-25 12:10:57.763862,15.02,10202,USA
551050,STK218,Item STK218,25,2024-06-25 12:11:02.763862,22.41,11282,India
544246,STK649,Item STK649,34,2024-06-25 12:18:30.763862,2.73,11898,Canada
543802,STK653,Item STK653,43,2024-06-25 12:20:35.763862,71.7,10593,India
545860,STK125,Item STK125,21,2024-06-25 13:06:43.763862,14.63,11733,Germany
538657,STK980,Item STK980,40,2024-06-25 13:18:34.763862,88.34,11002,Canada
539849,STK284,Item STK284,37,2024-06-25 13:19:30.763862,79.86,10158,Italy
550246,STK280,Item STK280,35,2024-06-25 13:43:28.763862,80.58,11686,Germany
540001,STK894,Item STK894,40,2024-06-25 13:54:28.763862,65.83,11024,India
539302,STK229,Item STK229,38,2024-06-25 14:15:54.763862,25.23,11431,Spain
543738,STK155,Item STK155,46,2024-06-25 14:17:43.763862,43.47,10841,United Kingdom
542359,STK320,Item STK320,26,2024-06-25 14:41:32.763862,17.21,11324,Italy
548689,STK346,Item STK346,40,2024-06-25 15:00:27.763862,63.25,11777,Spain
536471,STK605,Item STK605,37,2024-06-25 15:04:52.763862,24.63,11576,USA
551032,STK924,Item STK924,48,2024-06-25 15:15:32.763862,32.31,10400,Italy
537839,STK201,Item STK201,41,2024-06-25 15:20:39.763862,51.68,10877,Italy
546917,STK154,Item STK154,24,2024-06-25 15:38:28.763862,56.36,10741,Germany
546813,STK308,Item STK308,5,2024-06-25 16:12:55.763862,30.63,10735,United Kingdom
546118,STK582,Item STK582,8,2024-06-25 16:21:39.763862,26.17,11357,Italy
550184,STK183,Item STK183,31,2024-06-25 16:35:04.763862,33.2,10770,India
545015,STK367,Item STK367,23,2024-06-25 16:37:29.763862,48.78,11411,Canada
543378,STK496,Item STK496,5,2024-06-25 16:42:07.763862,45.93,11513,India
547168,STK911,Item STK911,34,2024-06-25 16:47:25.763862,87.66,11484,France
541506,STK767,Item STK767,32,2024-06-25 16:49:05.763862,38.74,10390,United Kingdom
550152,STK431,Item STK431,38,2024-06-25 17:04:54.763862,82.04,11936,Germany
C551020,STK480,Item STK480,-1,2024-06-25 17:11:18.763862,4.88,11325,Spain
540745,STK514,Item STK514,27,2024-06-25 17:28:51.763862,6.55,10121,Canada
538400,STK791,Item STK791,20,2024-06-25 17:35:02.763862,4.53,10826,Spain
C537192,STK486,Item STK486,-8,2024-06-25 17:39:30.763862,11.41,11012,United Kingdom
545990,STK247,Item STK247,6,2024-06-25 17:39:38.763862,72.96,11187,Spain
540956,STK230,Item STK230,15,2024-06-25 17:48:19.763862,91.16,11817,Germany
548855,STK978,Item STK978,31,2024-06-25 17:49:53.763862,30.72,11315,France
539293,STK863,Item STK863,5,2024-06-25 18:03:40.763862,44.44,11591,USA
549276,STK446,Item STK446,29,2024-06-25 18:06:31.763862,18.33,11722,United Kingdom
537953,STK859,Item STK859,47,2024-06-25 18:11:19.763862,84.67,11494,Spain
C547677,STK260,Item STK260,-8,2024-06-25 18:12:41.763862,14.15,10726,Spain
550417,STK615,Item STK615,23,2024-06-25 18:24:55.763862,49.45,11958,USA
538527,STK910,Item STK910,1,2024-06-25 18:52:53.763862,26.68,10112,Spain
C549452,STK137,Item STK137,-39,2024-06-25 19:34:01.763862,19.86,10660,Germany
548186,STK394,Item STK394,20,2024-06-25 19:34:18.763862,6.18,11298,Canada
549844,STK136,Item STK136,18,2024-06-25 19:36:32.763862,22.87,11604,India
547958,STK601,Item STK601,25,2024-06-25 19:38:44.763862,66.9,10410,India
540811,STK207,Item STK207,30,2024-06-25 19:53:58.763862,13.38,10470,India
538340,STK142,Item STK142,8,2024-06-25 19:55:53.763862,5.98,11157,Spain
542641,STK908,Item STK908,26,2024-06-25 19:55:56.763862,82.72,11537,Germany
545166,STK478,Item STK478,25,2024-06-25 19:59:03.763862,57.35,10512,France
544739,STK316,Item STK316,3,2024-06-25 20:11:44.763862,58.48,11971,France
539758,STK885,Item STK885,2,2024-06-25 20:30:08.763862,30.63,10910,Canada
544217,STK600,Item STK600,18,2024-06-25 20:31:30.763862,65.85,10983,Canada
540784,STK808,Item STK808,24,2024-06-25 20:37:31.763862,11.72,10546,United Kingdom
546539,STK609,Item STK609,48,2024-06-25 20:50:55.763862,47.65,10360,France
538920,STK473,Item STK473,36,2024-06-25 20:51:51.763862,95.43,10811,United Kingdom
544283,STK235,Item STK235,42,2024-06-25 21:01:05.763862,19.39,10816,USA
540229,STK448,Item STK448,32,2024-06-25 21:01:25.763862,6.55,11806,Italy
C550904,STK220,Item STK220,-20,2024-06-25 21:01:50.763862,42.26,11646,Canada
547576,STK225,Item STK225,34,2024-06-25 21:15:58.763862,18.59,10596,Canada
542476,STK484,Item STK484,42,2024-06-25 21:17:52.763862,99.56,11743,France
539680,STK612,Item STK612,35,2024-06-25 21:28:54.763862,79.9,11516,USA
539542,STK695,Item STK695,19,2024-06-25 22:15:32.763862,53.49,11383,Canada
538213,STK600,Item STK600,23,2024-06-25 22:30:47.763862,6.45,10142,Italy
536374,STK263,Item STK263,31,2024-06-25 22:40:25.763862,29.07,10930,United Kingdom
542481,STK906,Item STK906,10,2024-06-25 22:46:57.763862,26.42,10957,India
548694,STK734,Item STK734,20,2024-06-25 23:12:40.763862,44.99,11212,India
537097,STK508,Item STK508,39,2024-06-25 23:24:32.763862,20.88,10609,USA
550609,STK826,Item STK826,5,2024-06-25 23:35:06.763862,99.95,11582,USA
547627,STK931,Item STK931,2,2024-06-25 23:40:51.763862,45.5,10948,Spain
C549526,STK887,Item STK887,-20,2024-06-25 23:52:04.763862,52.75,11164,Italy
543256,STK636,Item STK636,28,2024-06-26 00:20:38.763862,77.03,10549,United Kingdom
541781,STK291,Item STK291,44,2024-06-26 00:24:24.763862,3.23,11954,USA
547705,STK150,Item STK150,7,2024-06-26 00:38:57.763862,36.12,10213,France
549240,STK859,Item STK859,48,2024-06-26 00:49:47.763862,22.73,10438,United Kingdom
538529,STK667,Item STK667,41,2024-06-26 00:52:33.763862,83.59,10456,Italy
541573,STK132,Item STK132,25,2024-06-26 00:58:37.763862,42.65,11827,USA
C541422,STK641,Item STK641,-17,2024-06-26 01:09:40.763862,11.83,10208,India
546106,STK823,Item STK823,17,2024-06-26 01:23:55.763862,74.72,10546,Germany
551015,STK332,Item STK332,18,2024-06-26 01:25:47.763862,64.19,11272,Canada
539850,STK979,Item STK979,47,2024-06-26 01:26:23.763862,75.19,10904,USA
536657,STK634,Item STK634,20,2024-06-26 01:26:24.763862,22.15,10965,Germany
540976,STK637,Item STK637,30,2024-06-26 01:51:10.763862,31.3,11695,France
543288,STK753,Item STK753,34,2024-06-26 01:58:57.763862,32.8,10234,United Kingdom
C539841,STK366,Item STK366,-5,2024-06-26 02:11:02.763862,52.48,10502,Spain
C542376,STK468,Item STK468,-11,2024-06-26 02:26:01.763862,51.91,11218,France
537433,STK838,Item STK838,22,2024-06-26 02:47:56.763862,52.93,11483,Canada
540661,STK708,Item STK708,44,2024-06-26 02:49:18.763862,65.19,11806,Spain
549123,STK397,Item STK397,35,2024-06-26 03:18:46.763862,78.37,11155,Spain
537178,STK402,Item STK402,40,2024-06-26 03:20:15.763862,52.97,10046,Italy
548671,STK760,Item STK760,12,2024-06-26 03:34:21.763862,93.8,11760,India
537652,STK310,Item STK310,13,2024-06-26 03:47:11.763862,22.0,10496,Spain
